danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.635,0.785,-7.42,0.0278,0.138,0.199,0.549,0.268,119.99
0.6328,0.5182,-8.5596,0.08825,0.341231,0.091922385,0.12795,0.25693,107.572
0.6811,0.687,-6.063,0.054259999999999996,0.176372,8.448e-05,0.15501,0.5602,122.3205
0.7003999999999999,0.7232000000000001,-4.9626,0.04547,0.09740299999999999,9.4492e-05,0.21132,0.5678,119.06120000000001
0.5609,0.5407,-6.37,0.0402,0.340301,1.8499999999999999e-06,0.17870000000000003,0.42400000000000004,106.82239999999999
0.662,0.7309,-5.1289,0.05900999999999999,0.0446614,0.000115619,0.17073,0.5041,117.1312
0.49729999999999996,0.5806,-6.5585,0.09031,0.444443,4.551e-06,0.19945,0.38988999999999996,148.94729999999998
0.79875,0.461375,-9.121625,0.07285,0.363625,0.11134748875,0.1361625,0.759375,120.647
0.6578,0.6892,-5.865399999999999,0.0735,0.23944000000000001,5.0345999999999995e-05,0.13598,0.5524,127.12280000000001
0.4484,0.4205,-10.5786,0.02816,0.38602,0.60508,0.11523000000000001,0.2169,113.7818
0.669,0.8574999999999999,-5.492,0.03925,0.041550000000000004,0.00013685,0.1285,0.496,120.024
0.7415,0.8027,-5.3832,0.0623,0.10402,0.2156,0.24014000000000002,0.7163999999999999,124.5722
0.657,0.6808,-6.226,0.0796,0.3736,0.00831107,0.18839999999999998,0.6049,104.0284
0.7784,0.8328,-5.3701,0.15569,0.051372600000000004,0.02322196,0.23408,0.5759000000000001,124.832
0.6186999999999999,0.6919,-4.7065,0.051739999999999994,0.18046600000000002,0.000384696,0.19483999999999999,0.4669,124.7875
0.6547,0.6082,-7.1322,0.10383,0.15250599999999997,0.009245105,0.21629,0.4518,121.0228
0.666,0.66,-5.745,0.0408,0.318,0.0002,0.549,0.609,121.981
0.5577,0.6948000000000001,-4.9778,0.11091999999999999,0.27667,4.8712000000000004e-05,0.28106,0.47786999999999996,131.7663
0.6976,0.7586999999999999,-4.6551,0.07812,0.039361,0.00012796000000000001,0.13984000000000002,0.5868,122.1253
0.3492,0.35819999999999996,-12.3246,0.03331,0.64684,0.868,0.1543,0.09237999999999999,105.63730000000001
0.6793,0.6288,-5.7732,0.08304,0.135766,2.5841e-05,0.2649,0.4726,123.2145
0.6633,0.6621,-6.927,0.13316999999999998,0.2843804,0.03285018,0.19736,0.5709,122.9386
0.572,0.6382,-5.9569,0.09125,0.23030499999999998,0.0005606599999999999,0.19937999999999997,0.44753999999999994,116.4025
0.23900000000000002,0.42210000000000003,-12.4175,0.034820000000000004,0.4175,0.010767727,0.1874,0.30110000000000003,132.16590000000002
0.6262000000000001,0.7027,-4.7780000000000005,0.08853,0.209072,1.74e-05,0.16477,0.4984,103.2325
0.7133333333333334,0.8256666666666668,-5.6176666666666675,0.04626666666666667,0.028883333333333334,0.26016666666666666,0.23066666666666666,0.49899999999999994,126.02833333333332
0.5866,0.5766,-8.0923,0.10827,0.22159,2.334e-06,0.2173,0.4468,116.5379
0.6319,0.6419,-6.2712,0.07483999999999999,0.175528,4.101e-06,0.1523,0.4615,103.0963
