song_id,song_duration,song_name,song_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date,artist_id,artist_name
5f2zZawBtGBEw24ABweErz,230525,Playground (from the series Arcane League of Legends),67,0.514,0.703,-6.859,0.0298,0.0107,7.62e-05,0.13,0.356,157.399,118EoTgIkMLl9fcutZfgaq,Playground (from the series Arcane League of Legends),2021-11-05,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
6E37j4b44JGpdk297urpKM,185546,like that,69,0.573,0.441,-5.799,0.0758,0.186,0.0,0.61,0.389,61.657,2rQu10gUgBVYzgsitDZNyU,aurora,2018-02-23,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
7JDWhC422Gtk1Bq0mL3OTC,180161,feel something,68,0.74,0.415,-8.914,0.0707,0.242,0.000156,0.319,0.156,136.029,6qLQLAHnS54MLHY8wxXDX5,feel something,2019-06-21,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
77o1HdXHm1hLd7Ebe9ygd0,201101,THAT BITCH,67,0.778,0.738,-2.164,0.218,0.0103,0.0,0.55,0.626,162.132,0kP7zWftghSBU2HVkjzcnP,THAT BITCH,2019-11-01,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
18W92Zm1KjLCbUIszOhpkD,197938,I Wanna Know (feat. Bea Miller),66,0.661,0.725,-4.859,0.0563,0.0253,0.0,0.123,0.605,119.927,2xqSl9X8ulJayI0KxABaLV,I Wanna Know (feat. Bea Miller),2018-03-16,1o2NpYGqHiCq7FoiYdyd1x,NOTD
6h3lMAmmpQDFqoHk9F99IR,179146,S.L.U.T.,66,0.722,0.773,-4.378,0.0792,0.0598,0.0,0.179,0.724,94.997,2rQu10gUgBVYzgsitDZNyU,aurora,2018-02-23,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
6owKuyHxUqidcAA6fPKSyy,222146,We Can't Stop,65,0.705,0.347,-8.249,0.0301,0.674,0.0,0.12,0.36,80.057,1DpZ3jGqyRCTQ8Eoas1MP4,"Cover Sessions, Vol. 3",2015-04-28,1o2NpYGqHiCq7FoiYdyd1x,Boyce Avenue
7cLm450e9XaPrEZTSTsfwU,194525,it's not u it's me,57,0.776,0.568,-6.419,0.125,0.0204,1.69e-05,0.078,0.749,150.901,2H7CLWulZOueBe1Hjtznm1,it's not u it's me,2019-03-01,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
5STe0hPlbFwIk0OkjNRJLa,207327,FEEL SOMETHING DIFFERENT,56,0.78,0.715,-4.606,0.102,0.125,9.31e-06,0.218,0.365,125.015,1bddkQczuUlV4e4MW2SOO1,elated!,2020-10-23,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
7IJyNRUZlKJJn9BfBBUgzh,211866,Fire N Gold,48,0.544,0.863,-5.485,0.0435,0.00416,0.0,0.322,0.396,144.031,4D3a3XfA63KcLK9i1p4nEb,Young Blood,2014-01-01,1o2NpYGqHiCq7FoiYdyd1x,Bea Miller
3vkCueOmm7xQDoJ17W1Pm3,137773,My Love Mine All Mine,98,0.504,0.308,-14.958,0.0321,0.868,0.135,0.158,0.121,113.95,2Cn1d2KgbkAqbZCJ1RzdkA,The Land Is Inhospitable and So Are We,2023-09-15,2uYWxilOVlUdk4oV9DvwqK,Mitski
3jjsRKEsF42ccXf8kWR3nu,128198,Washing Machine Heart,86,0.613,0.822,-4.087,0.026,0.0092,0.506,0.429,0.567,105.997,42cH7mrkfljkqkxA2Ip9Xq,Be the Cowboy,2018-08-17,2uYWxilOVlUdk4oV9DvwqK,Mitski
3sslYZcFKtUvIEWN9lADgr,278640,First Love/Late Spring,81,0.445,0.543,-8.196,0.0272,0.000825,0.0137,0.202,0.102,99.963,3I2KkX13lHXuYqfBjSOopo,Bury Me At Makeout Creek,2014-11-11,2uYWxilOVlUdk4oV9DvwqK,Mitski
2Co0IjcLTSHMtodwD4gzfg,170240,I Bet on Losing Dogs,80,0.398,0.493,-9.561,0.0303,0.00347,0.000157,0.106,0.412,82.048,4Coa8Eb9SzjrkwWEom963Q,Puberty 2,2016-06-17,2uYWxilOVlUdk4oV9DvwqK,Mitski
5411TEB6tlzvuF5A4oyldr,149680,Francis Forever,80,0.535,0.448,-9.167,0.0279,0.00262,1.94e-05,0.115,0.32,101.986,3I2KkX13lHXuYqfBjSOopo,Bury Me At Makeout Creek,2014-11-11,2uYWxilOVlUdk4oV9DvwqK,Mitski
2P5yIMu2DNeMXTyOANKS6k,193429,Nobody,79,0.398,0.717,-5.253,0.0398,0.07,0.0,0.085,0.487,117.296,42cH7mrkfljkqkxA2Ip9Xq,Be the Cowboy,2018-08-17,2uYWxilOVlUdk4oV9DvwqK,Mitski
3pANfZVFdtuVnJsE6xa5Ox,137141,Me and My Husband,79,0.497,0.638,-5.31,0.0274,0.0467,0.0,0.385,0.77,172.01,42cH7mrkfljkqkxA2Ip9Xq,Be the Cowboy,2018-08-17,2uYWxilOVlUdk4oV9DvwqK,Mitski
3XCveEutwTaDiekRkkfdp9,169773,Liquid Smooth,77,0.424,0.342,-9.469,0.0339,0.838,0.0,0.136,0.124,76.235,22MICAVuz34zzqm4Se5Lga,Lush,2012-01-31,2uYWxilOVlUdk4oV9DvwqK,Mitski
7FHj19QQigvMH1onMYRNLn,183792,I Want You,76,0.339,0.292,-11.294,0.0348,0.514,0.0,0.0713,0.0655,131.702,7K4SuWzgUEweJScduBcC6f,"Retired from Sad, New Career in Business",2013-08-01,2uYWxilOVlUdk4oV9DvwqK,Mitski
7fd3aMiuwHWKsTdZafjOfZ,156145,A Pearl,76,0.295,0.637,-4.043,0.0288,0.0496,0.0236,0.112,0.221,84.551,42cH7mrkfljkqkxA2Ip9Xq,Be the Cowboy,2018-08-17,2uYWxilOVlUdk4oV9DvwqK,Mitski
0yc6Gst2xkRu0eMLeRMGCX,290616,Apocalypse,90,0.37,0.467,-9.013,0.0273,0.0205,0.572,0.109,0.182,94.485,2mxFsS5yylSTHNivV53HoA,Cigarettes After Sex,2017-06-09,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
1FWsomP9StpCcXNWmJk8Cl,320030,K.,85,0.454,0.4,-10.261,0.0265,0.139,0.846,0.137,0.327,93.719,2mxFsS5yylSTHNivV53HoA,Cigarettes After Sex,2017-06-09,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
0SpkyS1Q4MD8GaVcP5YjT4,215150,Sunsetz,85,0.405,0.479,-9.396,0.0301,0.0527,0.795,0.0974,0.131,75.37,2mxFsS5yylSTHNivV53HoA,Cigarettes After Sex,2017-06-09,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
3p4hRhMcb6ch8OLtATMaLw,256799,Cry,85,0.406,0.399,-10.449,0.0278,0.756,0.678,0.112,0.163,142.83,4uQ5kFmXQdCxz3WvM4UUzy,Cry,2019-10-25,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
6ilc4vQcwMPlvAHFfsTGng,292110,Sweet,82,0.45,0.511,-9.073,0.0276,0.353,0.766,0.139,0.115,96.563,2mxFsS5yylSTHNivV53HoA,Cigarettes After Sex,2017-06-09,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
70YTBH8vOGJNMhy6186yFm,286773,Heavenly,79,0.535,0.437,-9.187,0.0248,0.669,0.688,0.11,0.127,105.22,4uQ5kFmXQdCxz3WvM4UUzy,Cry,2019-10-25,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
7cs7MLtAWvsdf3w5kBvfK2,286293,Nothing's Gonna Hurt You Baby,76,0.508,0.33,-14.071,0.0265,0.259,0.154,0.114,0.101,96.818,12UGkXT4z3ajgq6xheCGDk,I.,2012-07-21,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
0O0bttAxJKKWqAqY2Nq4mC,245840,Falling In Love,74,0.472,0.27,-11.649,0.027,0.729,0.0158,0.125,0.373,140.673,4uQ5kFmXQdCxz3WvM4UUzy,Cry,2019-10-25,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
2nD9CUfMMUVxL0UyFs8fGG,234174,Pistol,74,0.651,0.441,-11.74,0.0346,0.519,0.708,0.0959,0.373,109.979,3pvGm1n0cKAfHpGKbZhKi5,Pistol,2022-11-15,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
4nvLuqwTOZdEJI1fcHXv8h,264453,You're All I Want,74,0.233,0.471,-10.947,0.0294,0.363,0.828,0.113,0.277,182.161,0C4YWH1f1zcPhIhNIB6S82,You're All I Want,2020-05-26,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex
6dBUzqjtbnIa1TwYbyw5CM,213920,Lovers Rock,89,0.559,0.871,-5.338,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,4Hai0uVzRbyTSaTPzxTY4e,French Exit,2014-06-05,0Y6dVaC9DZtPNH4591M42W,TV Girl
3IznIgmXtrUaoPWpQTy5jB,167864,Not Allowed,87,0.67,0.905,-6.855,0.129,0.669,0.000227,0.349,0.563,104.965,4oL7pMxnb04uuRI7ReXmuh,Who Really Cares,2016-02-25,0Y6dVaC9DZtPNH4591M42W,TV Girl
6QeYSvYqYUsfBzsApbjDHO,198960,Cigarettes out the Window,86,0.625,0.659,-5.669,0.0337,0.12,0.0,0.17,0.594,113.551,4oL7pMxnb04uuRI7ReXmuh,Who Really Cares,2016-02-25,0Y6dVaC9DZtPNH4591M42W,TV Girl
